3.605	6	9.211
3.987	5.882	9.276
4.895	5.842	9.237
4.145	5.75	9.368
4.197	5.632	8.842
4.329	5.724	8.737
4.684	5.961	9.276
3.776	4.671	8.408
2.513	5.842	9.053
4.474	3.605	8.947
3.803	6.053	8.789
3.342	4.947	8.671
4.763	4.526	8.632
3.368	4.487	8.934
3.421	4.829	9.158
3.539	3.961	8.605
2.934	4.276	8.553
2.803	4.645	8.816
2.118	5.211	10.092
3.671	10.171	7.803
4.408	16.684	7.408
-2.303	-0.921	15.776
5.553	5.776	11.763
3.197	-11.789	17.592
10.474	6.158	12.158
1.842	0.605	14.368
0.645	8.355	14.395
-4.447	12.5	25.763
-0.263	26.645	25.789
26.605	26.776	25.816
25.289	26.737	25.789
-9.658	5.921	25.882
-18.224	-6.645	23.211
3.539	-7.382	14.303
0.447	-2.987	17.132
1.184	4.355	19.158
-4.618	3.303	15.855
-10.145	3.421	12.737
-10.368	3.513	10.763
-5.224	3.592	9.382
-2.882	5.829	9.737
-0.276	6.566	9.342
0.263	5.855	10.276
1.447	13.053	11.461
3.224	12.5	13.671
6.408	14.066	11.711
6.026	15.763	12.816
8.592	15.763	12.539
9.579	17.671	14.671
10.908	20.829	16.487
10.882	25.132	17.882
9.526	26.671	18.395
7.132	26.658	18.289
6.579	26.684	16.474
10.105	26.697	12.803
12.908	26.697	8.263
12.566	26.684	2.368
2.987	26.658	-2.908
0.711	26.632	-12.539
10.263	26.658	-22.342
21.145	26.737	-26.789
20.039	26.75	-26.789
17.079	26.697	-26.789
11.645	26.697	-26.789
10.526	26.671	-21.079
-25.303	9.921	0.684
-20.553	-15.421	25.987
22.987	-25.803	-18.395
2.447	-6.618	-26.592
26.632	26.776	25.829
26.632	10.842	22.039
22.158	26.724	25.711
-25.987	26.5	22.816
-26.026	26.487	25.829
26.592	11.382	-4.211
26.645	-4.263	12.316
-9.474	18.605	11.539
-11.724	11.526	18.882
23.513	4.184	9.329
11.211	7.171	12.5
-4.908	9.039	10.026
8.171	4.868	8.132
6.632	3.921	9.947
-0.145	6.092	8.842
4.724	3.947	8.566
3.803	5.118	9.329
2.421	6.276	9.105
4.474	5.184	9.184
3.197	5.342	8.908
3.789	6	9.079
5.961	5.013	8.882
4.684	5	8.868
3.171	5.632	8.829
2.5	5.75	9.158
3.711	5.632	8.697
4.382	6.026	9.329
3.684	6.579	8.868
4.118	6	8.711
4.434	5.724	8.75
4.211	5.618	8.566
4.671	5.579	8.934
4.368	4.776	8.579
3.329	6.184	9.171
5.342	3.276	8.632
4.263	6.711	8.671
3.684	5.579	8.789
4.487	5.197	8.316
2.447	5.645	9.132
3.184	5.184	8.697
3.763	5.961	8.408
3.368	5.553	8.526
3.658	5.342	8.487
3.079	5.079	9.211
2.382	4.803	9.197
3.5	7.605	9.303
3.908	12.263	7.711
-0.039	-1.539	8.882
-0.197	-1.513	24.132
6.671	11.158	11.461
4.539	-20.276	20.974
14.987	-2.276	9.276
1.803	1.447	16.079
5.474	1.816	14.763
-3.355	8.224	15.921
3.289	26.658	25.474
14.303	26.697	25.816
26.605	26.776	25.829
3.908	7.355	25.895
-10.697	-2.566	25.947
-3.039	-7.355	18.329
5.855	-8.711	19.684
3.882	2.329	20.263
3.316	5.671	19.408
-4.211	5.263	16.579
-8.474	5.197	12.118
-8.382	3.329	9.237
-2.763	3.053	7.368
-0.039	5.882	6.75
0.447	5.671	7.553
0.697	8.855	7.618
-0.079	9.855	9.066
0.842	12.579	10.789
2.289	14.237	12.211
3.842	16.329	13.408
6.645	17.763	14.513
8.461	18.434	15.013
8.842	22.421	17.697
10.013	25.776	16.684
8.25	26.671	17.303
5.145	26.645	17.289
4.882	26.671	15.961
11.171	26.684	12.053
15.882	26.697	6.539
15.842	26.711	0.263
3.513	26.632	-3.868
4.039	26.645	-13.868
12.368	26.684	-23.421
19.579	26.737	-26.789
22.592	26.737	-26.789
16.592	26.724	-26.789
11.829	26.671	-26.776
-10.171	26.5	-26.776
-18.763	-14.974	26.026
26.276	-25.816	8.092
5.961	-25.882	-26.513
-4.974	26.579	25.803
26.632	19.658	18.895
26.605	21.737	19.211
-22.053	26.526	22.342
-26.039	26.487	25.842
1.053	13.934	4.632
26.645	-12.237	16.184
3.289	22.224	15.763
-17.855	20.632	16.658
11.132	0.697	6.645
18.289	6.408	13.263
-0.461	8.592	8.737
0.434	3.961	10.592
11.013	6.25	9.145
4.829	6.105	10.592
1.25	5.776	9.355
5.461	5.618	9.145
3.553	5.829	9.395
0.921	4.895	8.987
1.908	5.316	8.737
3.513	5.632	8.934
2.961	4.961	8.934
3.408	5.553	8.974
3.961	5.513	8.737
2.447	4.605	7.855
2.053	5.013	9.329
3.039	5.329	8.355
3.974	5.632	8.882
5.118	7.066	8.961
3.842	7.092	9.211
5.553	7.355	9.329
4.145	5.645	8.553
4.382	6.645	8.368
4.645	4.961	9.303
5.632	5.329	8.316
3.75	5.868	8.434
3.921	5.553	8.526
4.145	5.882	8.658
3.382	5.158	8.697
2.868	5.645	8.566
3.184	5.145	9.039
3.447	5.658	8.224
3.75	5.763	8.513
2.908	4.908	8.566
2.487	5.158	9.026
3.855	7.684	8.671
4.132	16.408	8.632
-1.368	-3.526	3.671
0.645	-0.539	21.645
5.895	-6.237	13.053
12.803	-7.513	11.75
7.211	1.171	15.342
6.974	0.855	11.066
-1.421	1.421	15.921
-2.974	14.882	25.855
6.684	26.684	25.803
26.632	26.776	25.829
8.947	19.197	25.842
-12.158	-7	25.947
-7.75	-7.289	22.079
8.789	-12.842	20.25
6.118	1.526	20.553
3.316	5.658	19.618
-2.658	4.895	17.145
-6.105	5.158	13.263
-5.053	12.75	10.276
-1.395	4.75	9.724
1.158	10.039	7.697
1.434	8.026	7.434
1.263	10.197	7.395
0.5	11.632	8.368
0.868	13.882	10.171
1.5	16.276	12.039
2.789	18.079	13.908
5.724	18.882	15.803
8.5	21.566	17.079
10.079	23.987	17.447
9.382	26.5	17.355
6.697	26.671	17.145
5.789	26.658	16.395
9.618	26.684	14.276
14.408	26.697	11.026
16.842	26.737	6.618
10.763	26.671	2.697
1.737	26.618	-4.158
4.066	26.645	-16.132
18.895	26.711	-22.632
22.618	26.737	-26.789
17.816	26.724	-26.789
9.303	26.671	-26.789
4.105	26.645	-26.645
-1.803	26.645	-17.868
-26	-13.592	26
15.895	-25.868	5.132
16.461	-25.868	-26.513
26.592	26.776	25.829
26.632	26.776	22.276
24.316	5.079	24.316
-19.5	26.513	10.842
-25.987	17.763	25.855
8.987	18.908	19.158
15.158	11.987	8.447
2.474	6.355	13.184
0.539	16.237	15.763
9.513	5.895	11.461
9.118	3.816	10.053
3.092	7.645	11.105
7.671	8.211	12.961
11.658	6.461	9.921
2.329	5.395	10.289
5.026	7	10.25
6.842	5.447	9.105
2.329	5.171	9.447
2.132	4.974	8.895
3.842	6.368	8.868
3.447	5.776	9.053
3.645	5.184	8.974
3.645	5.408	8.961
3.711	5.961	8.618
3.461	6.132	8.816
4.632	5.934	9
4.211	6.066	8.658
4.987	5.803	8.579
3.987	6.026	8.776
3.868	6.658	8.632
3.658	5.974	8.632
3.303	6.158	8.461
3.289	6.447	8.737
4.855	5.592	8.553
3.118	5.961	8.566
3.053	6.303	8.5
4.355	5.895	7.724
3.395	6.197	8.658
3.211	5.974	8.224
4.013	5.961	8.276
3.184	6.105	8.776
3.776	5.632	7.934
3.737	6.039	8
2.724	5.039	8.474
1.895	5.895	9.579
3.908	9.75	8.447
4.013	15.303	8.329
0.211	-1.211	9.487
5.303	9.539	13.408
2.079	-14.211	16.158
15.539	-1.895	8.316
8.316	-1.487	16.368
7.868	2.184	13.763
-1.553	1.671	14.368
-5.737	15.368	25.855
0.684	26.632	25.803
26.632	26.776	25.829
26.618	26.776	25.816
-2.895	11.132	25.868
-11.605	-2.789	24.987
0.092	-8	17.579
0.211	-1.974	21.724
0.013	7.776	19.882
-3.816	6.434	17.289
-11.303	7.829	13.474
-12.724	10.658	11.566
-5.408	6.171	8.763
-1.921	9.276	8.053
2.711	9.724	8.276
2.105	12	8.513
1.276	13.487	8.829
1.303	12.618	10.316
4.382	16	11.039
7.947	16.697	11.382
9.066	18.382	12.645
